filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,stove,smoke,coil,trash,kerosene,incense,generator,smoky,crop,stove_other,pm25,bc,co,fueltype
3M53829,0.0727,0.8045,0.4347,0.3393,0.5024,0.0902,0.053,0.0038,0.3035,0.0228,5.537266309,Control,Yes,No,No,No,No,No,No,No,No,No,36.82945881,5.537266309,0.00795068,Biomass
3M53831,0.3284,1.0112,1.1661,0.57,1.8858,0.8609,0.0457,0.0455,0.362,0.0031,7.993576871,Control,Yes,No,No,No,No,No,No,No,No,No,213.1356423,7.993576871,1.741435327,Biomass
3M53845,0.0579,0.3954,0.0373,0.2447,0.6688,0.0866,0.03,0.0201,0.0707,0.0031,7.948532652,Control,Yes,No,No,No,No,No,No,No,No,No,51.35856698,7.948532652,0.187365114,Biomass
3M53849,0.0891,0.357,0.166,0.3298,1.9223,0.1855,0.0161,0.0038,0.1176,0.0046,16.24794443,Control,Yes,No,No,No,No,No,No,No,No,No,92.55619718,16.24794443,2.160581354,Biomass
3M53854,0.1519,0.5888,0.3662,0.2133,0.5862,0.349,0.0369,0.0121,0.1346,0.0119,9.242475488,Control,Yes,No,No,No,No,No,No,No,No,No,55.36500657,9.242475488,1.16875,Biomass
3M53855,0.2016,0.5952,0.4761,0.4511,3.5623,0.5311,0.0206,0.0281,0.2962,0.0283,9.54055968,Control,Yes,No,No,No,No,No,No,No,No,No,127.6242599,9.54055968,2.165984328,Biomass
3M53856,0.0586,0.5287,0.1715,0.1403,0.0915,0.0422,0.0111,0.0121,0.1196,0.0374,2.597468522,Intervention,Yes,No,No,No,No,No,No,No,No,No,10.66955829,2.597468522,0.498572892,LPG
3M53861,0.0701,0.5143,0.1015,0.1916,0.5178,0.1308,0.0276,0.0038,0.1295,0.0285,9.424736705,Intervention,Yes,No,No,No,No,No,No,No,No,Yes,53.09256797,9.424736705,0.517602913,LPG
3M53866,0.1171,0.7491,0.7619,0.2416,1.4767,0.166,0.0391,0.0148,0.3748,0.0031,13.29998219,Intervention,Yes,No,Yes,Yes,No,No,No,No,No,No,81.64202221,13.29998219,0.862411617,Biomass
3M53869,0.1238,0.6704,0.4997,0.2224,0.3578,0.2055,0.023,0.0241,0.2272,0.0064,4.578596951,Intervention,Yes,No,No,No,No,No,No,No,No,No,26.95644717,4.578596951,NA,LPG
3M53872,0.1293,1.2959,1.8024,0.3052,1.056,0.2986,0.10780000000000001,0.0268,0.6377,0.0031,10.59115788,Control,Yes,No,No,No,No,No,No,No,No,No,163.3412171,10.59115788,1.494573058,Biomass
3M53877,0.4653,0.3355,0.0088,0.1813,1.4347,0.8755,0.0111,0.0038,0.0877,0.0031,14.98026998,Intervention,Yes,No,No,No,No,No,No,No,No,No,128.3090823,14.98026998,1.162780899,Biomass
