filter_id,Mg,Al,Si,S,K,Ca,Ti,Mn,Fe,Zn,BC,arm,fueltype
3M53861,0.0701,0.5143,0.1015,0.1916,0.5178,0.1308,0.0276,0.0038,0.1295,0.0285,9.424736705,Intervention,LPG
3M53866,0.1171,0.7491,0.7619,0.2416,1.4767,0.166,0.0391,0.0148,0.3748,0.0031,13.29998219,Intervention,Biomass
3M53869,0.1238,0.6704,0.4997,0.2224,0.3578,0.2055,0.023,0.0241,0.2272,0.0064,4.578596951,Intervention,LPG
3M53872,0.1293,1.2959,1.8024,0.3052,1.056,0.2986,0.10780000000000001,0.0268,0.6377,0.0031,10.59115788,Control,Biomass
3M53877,0.4653,0.3355,0.0088,0.1813,1.4347,0.8755,0.0111,0.0038,0.0877,0.0031,14.98026998,Intervention,Biomass
3M53881,0.0495,0.4672,0.0088,0.0528,0.2674,0.0699,0.0111,0.008,0.0787,0.0031,3.687078522,Intervention,LPG
3M53882,0.0588,0.4796,0.187,0.053,0.2844,0.2066,0.0111,0.0038,0.1315,0.0247,3.515514343,Intervention,LPG
3M53883,0.0758,0.4564,0.1918,0.0583,0.2376,0.1087,0.0111,0.0038,0.1116,0.0137,1.725181533,Control,Biomass
3M53884,0.0831,0.3682,0.0758,0.3839,1.8694,0.2115,0.0206,0.0241,0.0957,0.0173,11.86354072,Control,Biomass
3M53891,0.0941,0.4,0.1645,0.1766,1.1864,0.3043,0.0345,0.0133,0.1603,0.0303,10.23047385,Control,Biomass
3M53895,0.0993,0.4558,0.3691,0.3366,2.0867,0.3775,0.0323,0.008,0.0329,0.0393,14.45819731,Control,Biomass
3M53905,0.0842,0.561,0.278,0.4292,0.7101,0.1744,0.0161,0.0294,0.1364,0.0064,9.654658601,Control,Biomass
3M53907,0.042,0.3934,0.0088,0.0221,0.0309,0.0239,0.0111,0.0038,0.0179,0.0031,2.682704968,Intervention,LPG
3M53909,0.0362,0.3696,0.0088,0.0931,0.0723,0.0219,0.0111,0.0161,0.019,0.0031,2.623794217,Intervention,LPG
3M53913,0.1379,0.5656,0.4005,0.4869,0.8331,0.4093,0.023,0.0188,0.1485,0.0356,11.17869768,Control,Biomass
3M53921,0.0636,0.6308,0.4146,0.1505,0.4127,0.2223,0.0111,0.0093,0.2013,0.0082,6.824171674,Control,Biomass
3M53926,0.0586,0.4462,0.071,0.2398,0.4069,0.0714,0.0161,0.0228,0.1087,0.0212,4.70317754,Intervention,LPG
3M53927,0.061,0.4699,0.2075,0.3534,0.1899,0.0888,0.0323,0.0228,0.0897,0.0031,2.628233801,Intervention,LPG
3M53928,0.0889,0.3998,0.3689,0.4794,2.4264,0.2321,0.046,0.0038,0.0778,0.0356,22.83061551,Control,Biomass
3M53929,0.0793,0.4873,0.2498,0.1454,0.3019,0.174,0.0254,0.0038,0.0698,0.0031,2.563178509,Intervention,LPG
3M53931,0.0468,0.3647,0.0088,0.0984,0.1138,0.0771,0.0184,0.0188,0.0597,0.0031,0.948674777,Intervention,LPG
3M53936,0.1485,0.755,1.3575,0.6317,3.8673,0.4812,0.0323,0.0173,0.2131,0.0265,15.43089626,Control,Biomass
3M53938,0.0652,0.542,0.3603,0.3046,0.2902,0.1172,0.0391,0.0093,0.1067,0.0155,5.447856046,Intervention,LPG
3M53940,0.0935,0.5572,0.5557,0.2285,0.2093,0.1631,0.0276,0.0133,0.0997,0.0247,2.379704575,Intervention,LPG
3M53941,0.0785,0.7422,0.5941,0.149,0.2051,0.4264,0.0276,0.0188,0.2549,0.0031,2.066144752,Intervention,LPG
3M53951,0.0475,0.4746,0.0166,0.1092,0.1543,0.1784,0.0111,0.0038,0.0668,0.0031,2.891858038,Intervention,LPG
3M53957,0.0468,0.3565,0.0088,0.1839,0.8611,0.1165,0.046,0.0068,0.0478,0.0031,28.66083726,Control,Biomass
3M53958,0.053,0.5263,0.385,0.1264,0.1357,0.1006,0.0111,0.0038,0.1056,0.0247,1.719333379,Intervention,LPG
3M53965,0.0577,0.4487,0.069,0.1912,1.302,0.1101,0.0111,0.0038,0.1036,0.0031,8.17636072,Control,Biomass
3M53967,0.0241,0.0077,0.0088,0.1815,0.5835,0.135,0.0111,0.0068,0.0966,0.0082,8.17636072,Control,Biomass
3M53978,0.1724,1.2837,2.332,0.2345,0.9944,0.542,0.0575,0.0281,0.4295,0.0031,14.10023162,Control,Biomass
3M53981,0.0835,0.6461,0.5556,0.1614,0.1543,0.1481,0.0111,0.0201,0.2013,0.0031,1.83270221,Intervention,LPG
3M53983,0.0541,0.3826,0.0088,0.1841,0.3835,0.0659,0.0184,0.0038,0.0309,0.0031,4.833324053,Intervention,LPG
3M53991,0.0665,0.5004,0.1147,0.1992,0.5601,0.0944,0.0276,0.0038,0.1246,0.032,5.735673274,Intervention,LPG
3M53993,0.042,0.3713,0.1373,0.1879,0.2151,0.0537,0.0111,0.0038,0.034,0.0192,4.307784779,Intervention,LPG
3M53997,0.0566,0.3267,0.0088,0.2818,1.0196,0.0972,0.0111,0.0038,0.0798,0.0031,12.23388214,Control,Biomass
3M54012,0.0464,0.376,0.1503,0.1446,0.8043,0.1616,0.0254,0.0038,0.1107,0.0031,10.893015,Control,Biomass
3M54018,0.0367,0.2818,0.0088,0.1191,0.5048,0.0469,0.0111,0.0038,0.025,0.021,8.452360096,Control,Biomass
3M54019,0.0506,0.2495,0.0088,0.2878,0.5616,0.0816,0.0111,0.0188,0.0389,0.0064,10.18734176,Intervention,LPG
3M54026,0.1141,0.6337,0.456,0.3174,1.442,0.7418,0.0694,0.0108,0.2511,0.0031,14.24622397,Control,Biomass
3M54029,0.099,0.4208,0.2597,0.5901,6.121,0.2875,0.0276,0.0374,0.1505,0.0031,11.23938461,Control,Biomass
3M54030,0.0842,0.4208,0.0088,0.2593,1.568,0.1739,0.0111,0.008,0.1067,0.0484,17.45501259,Control,Biomass
3M54043,0.0665,0.4337,0.0088,0.1627,0.3758,0.1227,0.0161,0.0038,0.0349,0.0031,9.393591041,Control,Biomass
3M54049,0.0575,0.4913,0.0088,0.1806,0.3209,0.0362,0.0323,0.0038,0.1036,0.0031,5.96137891,Intervention,LPG
3M54051,0.0721,0.9515,0.85,0.2221,0.6034,0.2429,0.0415,0.0201,0.3145,0.0031,7.366128563,Intervention,LPG
