filter_id,pre_ATN,post_ATN
3M52457,0.65,26.70
3M52466,3.90,30.38
3M52467,4.19,36.55
3M52468,3.05,76.38
3M52475,0.99,59.67
3M52477,5.05,51.33
3M52482,2.87,15.72
3M52488,6.30,14.05
3M52490,0.14,8.01
3M52495,0.73,25.04
3M52502,2.34,31.30
3M52509,1.14,22.69
3M52510,1.82,24.17
3M52518,2.20,16.91
3M52527,0.13,16.12
3M52533,2.64,17.73
3M52540,1.66,28.19
3M52542,0.72,15.10
3M52543,5.94,29.91
3M52547,0.92,29.88
3M52561,3.29,15.89
3M52590,3.74,44.83
3M52596,4.52,60.32
3M52601,6.05,13.85
3M52616,1.52,16.95
3M52623,2.34,63.58
3M52627,1.55,12.16
3M52628,0.69,57.29
3M52630,1.98,72.65
3M52631,4.09,21.23
3M52632,5.76,73.29
3M52633,5.01,73.91
3M52634,4.47,11.28
3M52636,5.76,55.04
3M52640,2.28,68.96
3M52641,8.36,14.03
3M52642,0.11,69.91
3M52643,1.29,55.63
3M52703,3.02,94.44
3M52705,3.46,16.96
3M52707,5.81,10.42
3M52708,0.70,26.07
3M52710,2.19,72.55
3M52711,1.87,10.55
3M52712,4.22,33.46
3M52721,7.53,19.83
3M52726,0.04,11.03
3M52728,4.35,60.61
3M52730,2.12,73.38
3M52731,0.79,51.83
3M52746,1.74,33.32
3M52749,1.04,7.77
3M52751,3.26,13.87
3M52752,4.00,16.40
3M52753,6.00,82.06
3M52754,6.68,17.88
3M52761,4.96,67.43
3M52769,0.93,21.12
3M52770,4.78,18.45
3M52771,1.18,56.53
3M52772,4.75,30.43
3M52773,10.54,23.06
3M52781,5.32,16.65
3M52785,4.33,55.31
3M52788,0.82,5.98
3M52789,3.48,55.42
3M52791,4.68,69.69
3M52793,0.22,65.99
3M52796,2.47,59.66
3M52805,1.48,8.37
3M52807,0.49,13.52
3M52809,2.02,12.18
3M52813,3.08,14.51
3M52823,2.40,34.04
3M52824,1.87,57.29
3M52830,2.02,31.55
3M52832,2.48,32.89
3M52836,4.58,38.53
3M52837,1.77,33.80
3M52840,0.23,42.02
3M52841,4.07,76.45
3M52849,5.81,27.41
3M52851,1.43,6.90
3M52869,1.84,20.13
3M52876,0.19,23.08
3M52899,3.54,35.19
