filter_id,pre_ATN,post_ATN
3M52229,4.2861,47.8368
3M52236,0.0449,20.3438
3M52242,0.5987,27.1609
3M52264,6.4043,16.6433
3M52265,0.9239,118.0603
3M52272,4.1387,44.7854
3M52274,3.5898,41.1004
3M52282,7.8765,19.0543
3M52283,3.5466,23.4391
3M52287,2.9277,38.2034
3M52299,7.9880,57.0480
3M52307,0.4328,10.5386
3M52329,1.8693,16.2879
3M52332,5.7485,14.2582
3M52346,2.8988,15.4606
3M52350,4.5699,29.0428
3M52360,1.2047,12.3243
3M52377,2.5584,5.2893
3M52378,0.3301,13.8150
3M52388,0.0159,26.8470
3M52391,0.4880,7.6800
3M52404,1.4586,39.3893
3M52413,1.1592,60.0039
3M52414,3.4437,17.7291
3M52415,3.0653,9.7462
3M52417,0.0147,15.2646
3M52421,2.6014,45.8072
3M52422,3.6621,33.0493
3M52427,1.9523,41.0264
3M52433,1.2270,41.4819
3M52434,3.6402,46.4841
3M52452,1.8228,38.3662
3M52457,0.6480,26.7003
3M52466,3.8970,30.3758
3M52467,4.1887,36.5543
3M52468,3.0542,76.3828
3M52475,0.9865,59.6688
3M52477,5.0486,51.3271
3M52482,2.8678,15.7201
3M52488,6.2986,14.0516
3M52490,0.1430,8.0121
3M52495,0.7255,25.0414
3M52502,2.3420,31.3000
3M52509,1.1357,22.6858
3M52510,1.8232,24.1728
3M52518,2.1957,16.9065
3M52527,0.1257,16.1180
3M52533,2.6401,17.7304
3M52540,1.6631,28.1929
3M52542,0.7201,15.0963
3M52543,5.9437,29.9126
3M52547,0.9153,29.8796
3M52561,3.2868,15.8892
3M52590,3.7373,44.8349
3M52596,4.5203,60.3150
3M52601,6.0487,13.8468
3M52616,1.5195,16.9460
3M52623,2.3363,63.5843
3M52627,1.5492,12.1595
3M52628,0.6881,57.2897
3M52630,1.9793,72.6494
3M52631,4.0886,21.2299
3M52632,5.7623,73.2916
3M52633,5.0142,73.9124
3M52634,4.4729,11.2849
3M52636,5.7579,55.0368
3M52640,2.2760,68.9593
3M52641,8.3597,14.0338
3M52642,0.1103,69.9070
3M52643,1.2885,55.6264
3M52703,3.0214,94.4445
3M52705,3.4614,16.9604
3M52707,5.8102,10.4219
3M52708,0.6985,26.0715
3M52710,2.1937,72.5472
3M52711,1.8656,10.5507
3M52712,4.2164,33.4611
3M52721,7.5343,19.8265
3M52726,0.0380,11.0283
3M52728,4.3530,60.6111
3M52730,2.1182,73.3775
3M52731,0.7942,51.8251
3M52746,1.7400,33.3225
3M52749,1.0373,7.7741
3M52751,3.2560,13.8729
3M52752,4.0009,16.4045
3M52753,5.9964,82.0613
3M52754,6.6841,17.8838
3M52761,4.9618,67.4265
3M52769,0.9312,21.1247
3M52770,4.7809,18.4497
3M52771,1.1775,56.5287
3M52772,4.7525,30.4277
3M52773,10.5395,23.0622
3M52781,5.3202,16.6499
3M52785,4.3348,55.3122
3M52788,0.8221,5.9799
3M52789,3.4767,55.4172
3M52791,4.6798,69.6891
3M52793,0.2184,65.9926
3M52796,2.4680,59.6636
3M52805,1.4783,8.3722
3M52807,0.4949,13.5203
3M52809,2.0213,12.1850
3M52813,3.0834,14.5111
3M52823,2.3963,34.0437
3M52824,1.8698,57.2909
3M52830,2.0188,31.5468
3M52832,2.4800,32.8906
3M52836,4.5767,38.5287
3M52837,1.7744,33.8023
3M52840,0.2319,42.0197
3M52841,4.0750,76.4516
3M52849,5.8062,27.4097
3M52851,1.4330,6.8968
3M52869,1.8363,20.1328
3M52876,0.1864,23.0778
3M52899,3.5394,35.1907
3M52905,3.2606,50.4282
3M52906,1.5061,12.9630
3M52909,0.4993,29.9814
3M52916,2.5139,27.9950
3M52922,0.3815,13.9630
3M52928,2.3851,43.8054
3M52929,2.0633,10.0103
3M52933,1.4769,36.8349
3M52936,0.5459,49.1341
3M52942,3.2485,45.2460
3M52944,0.0879,1.9348
3M52954,3.1391,48.9672
3M52959,1.6916,44.4758
3M52961,3.7932,28.1314
3M52964,0.1649,26.0512
3M52965,1.5703,28.0422
3M52966,0.4695,8.6902
3M52968,2.5121,45.1071
3M52980,0.0472,40.9353
3M52981,2.4513,32.7118
3M52982,5.0500,17.8400
3M52987,0.3516,54.6678
3M52989,2.4493,33.6232
3M52991,1.6099,13.6634
3M52992,1.7140,8.9161
3M52994,3.7967,3.9859
3M52996,0.3855,8.0924
3M53000,1.0151,74.8521
3M53001,0.6320,40.0790
3M53013,1.3996,19.5155
3M53019,1.8448,50.4706
3M53022,1.1144,15.6707
3M53029,7.5642,11.6025
3M53033,0.6850,11.1417
3M53040,3.3537,28.4808
3M53049,6.1790,37.9015
3M53050,1.6237,61.4789
3M53058,1.5886,7.2493
3M53068,2.4720,66.1475
3M53070,5.7158,37.7434
3M53071,3.3470,38.1545
3M53075,1.2390,25.5611
3M53076,2.5805,63.3857
3M53079,0.5361,54.4442
3M53105,0.3121,43.5791
3M53107,1.5837,73.1035
3M53111,0.4717,73.8678
3M53113,0.7857,68.4484
3M53118,1.1699,5.9639
3M53119,0.5653,77.0137
3M53122,3.0882,27.3227
3M53129,2.4065,63.8462
3M53137,3.0876,49.4662
3M53144,2.8027,24.6444
3M53145,2.0603,55.4892
3M53146,0.1625,61.9320
3M53155,0.1940,15.7540
3M53156,0.7336,34.0383
3M53159,2.6502,45.2398
3M53173,1.6675,65.2116
3M53177,0.0093,10.3865
3M53178,5.1677,19.9006
3M53179,0.9936,83.8596
3M53187,1.0227,7.4133
3M53189,3.3396,4.9248
3M53190,2.8184,14.0741
3M53194,0.6504,54.3760
3M53196,0.7876,10.7451
3M53199,0.6994,18.8677
3M53203,1.9646,25.3479
3M53208,2.1486,54.0259
3M53209,0.6326,11.0089
3M53210,5.2985,23.9950
3M53213,1.7745,12.5088
3M53217,3.6733,69.8324
3M53224,1.8209,48.1798
3M53226,2.0868,24.0142
3M53231,3.8754,27.8817
3M53234,0.4531,11.0522
3M53237,0.4258,49.1913
3M53247,0.6632,13.8479
3M53250,1.7746,79.6816
3M53252,3.7331,75.3159
3M53253,1.8469,42.8552
3M53256,3.8034,13.1118
3M53261,0.3338,25.5609
3M53270,1.1836,74.3961
3M53276,2.0224,7.0561
3M53277,2.4066,22.3993
3M53278,2.0645,27.2510
3M53279,4.2397,58.7672
3M53281,4.7694,20.7720
3M53289,1.1912,57.2926
3M53290,1.9336,7.3050
3M53292,2.7709,43.9967
3M53293,3.5098,49.7289
3M53294,1.3510,12.3456
3M53300,7.2673,64.2757
3M53302,2.8246,4.0673
3M53312,0.0889,29.6430
3M53316,0.7249,18.1350
3M53317,2.3341,38.4482
3M53320,2.4698,51.4854
3M53321,1.3252,70.3547
3M53322,1.6056,35.0790
3M53325,1.7306,50.4575
3M53333,0.0497,45.5642
3M53338,0.7942,64.2387
3M53340,3.5449,65.8156
3M53341,0.7123,17.4636
3M53342,3.5098,0.3231
3M53343,0.9338,13.0729
3M53346,0.5002,221.5767
3M53347,3.6082,43.1618
3M53349,4.6948,11.3482
3M53350,0.1870,5.3841
3M53351,3.4461,11.0315
3M53354,0.5620,81.8575
3M53355,0.1938,11.7527
3M53358,0.5798,65.1218
3M53368,0.8497,11.1133
3M53378,6.9181,57.0403
3M53385,0.5656,49.0500
3M53392,1.4624,36.7331
3M53393,1.5262,52.3079
3M53395,1.2934,38.9341
3M53398,4.2684,53.4198
3M53402,0.5012,56.6213
3M53405,2.6977,8.6803
3M53407,0.9098,57.7476
3M53421,1.3181,31.3138
3M53422,2.6363,64.3409
3M53431,0.7199,49.4746
3M53435,1.5483,12.3140
3M53438,2.0496,3.0395
3M53440,2.2576,19.0705
3M53444,1.9530,54.7761
3M53448,1.2888,60.3200
3M53455,1.0166,40.0880
3M53457,3.0199,9.9861
3M53464,2.4975,57.0588
3M53465,1.2775,10.7022
3M53467,4.0748,13.1490
3M53472,6.0609,44.7889
3M53482,0.9873,20.0250
3M53487,1.2768,14.0063
3M53492,0.5665,13.7954
3M53502,4.1923,18.8881
3M53504,4.4782,47.7555
3M53519,1.4932,53.7824
3M53521,1.8352,56.0473
3M53523,1.1186,77.4623
3M53524,1.9743,13.8994
3M53527,1.9216,50.2713
3M53528,0.5253,42.0602
3M53530,0.5167,26.1475
3M53534,2.3863,46.8899
3M53540,1.6171,77.6048
3M53543,2.8127,51.8641
3M53552,1.5086,18.6211
3M53573,1.6990,26.4380
3M53610,1.0852,12.1235
